gene,n,label,acc
LIMK1,8.0,1.0,0.875
LIPG,9.0,0.0,0.8888888888888888
LY6D,3.0,1.0,1.0
LYZ,16.0,0.0,0.875
MAD2L1,23.0,0.0,0.8695652173913043
MAP1B,11.0,0.0,0.8181818181818182
MAP2,61.0,0.0,0.9180327868852459
MAP2K2,3.0,1.0,0.6666666666666666
MAP2K6,9.0,1.0,1.0
MAP2K7,5.0,1.0,1.0
MAP3K6,8.0,1.0,1.0
MAP3K7,40.0,1.0,0.9
MAPK12,3.0,1.0,1.0
MAPT,41.0,0.0,0.9024390243902439
MAST1,8.0,1.0,0.875
MC1R,9.0,0.0,0.7777777777777778
MCRS1,11.0,1.0,0.9090909090909091
MDP1,14.0,1.0,0.7857142857142857
MEOX16,3.0,1.0,1.0
MMP1,22.0,1.0,0.7727272727272727
MMP10,223.0,1.0,0.7757847533632287
MMP12,22.0,1.0,0.6818181818181818
MMP13,6.0,1.0,1.0
MMP14,14.0,1.0,0.9285714285714286
MMP2,7.0,1.0,1.0
MMP3,12.0,1.0,0.9166666666666666
MMP9,10.0,1.0,1.0
MNX1,11.0,1.0,0.9090909090909091
MOB3A,2.0,1.0,1.0
MORC3,11.0,1.0,1.0
MOS,169.0,1.0,0.727810650887574
MSN,2.0,0.0,0.5
MT1E,3.0,0.0,1.0
MT2A,1.0,0.0,0.0
MVK,134.0,1.0,0.9925373134328358
MYH10,10.0,0.0,0.7
MYH9,8.0,0.0,0.25
NEFH,26.0,0.0,0.7692307692307693
NEFL,4.0,0.0,1.0
NEFM,16.0,0.0,0.75
NINJ1,9.0,1.0,0.8888888888888888
NOTCH1,58.0,1.0,1.0
NOX1,33.0,1.0,0.9696969696969697
NQO1,70.0,0.0,0.8714285714285714
ORAI1,18.0,1.0,0.9444444444444444
OTX2,18.0,1.0,0.9444444444444444
OXTR,4.0,0.0,1.0
PAK4,6.0,1.0,0.8333333333333334
PDGFB,12.0,1.0,1.0
PDIK1L,13.0,1.0,0.9230769230769231
PDPK1,10.0,1.0,1.0
PDZD2,11.0,1.0,0.8181818181818182
PEX19,40.0,1.0,1.0
PFN1,11.0,0.0,0.7272727272727273
PGK1,25.0,0.0,0.8
PGR,17.0,1.0,0.9411764705882353
PIGF,16.0,1.0,0.9375
PIK3R5,6.0,1.0,0.8333333333333334
PLA2G2A,5.0,1.0,1.0
PLAT,803.0,1.0,0.9315068493150684
PLAU,44.0,1.0,0.7272727272727273
PML,37.0,1.0,0.918918918918919
PMVK,13.0,1.0,0.8461538461538461
PNPT1,6.0,1.0,0.8333333333333334
POLR2A,16.0,0.0,0.5
PON1,7.0,0.0,0.8571428571428571
POU5F1,5.0,1.0,0.8
PPIA,102.0,0.0,0.9705882352941176
PRODH,19.0,1.0,0.9473684210526315
PROX1,39.0,1.0,0.9743589743589743
PTGS2,3.0,1.0,1.0
PTH1R,7.0,0.0,0.7142857142857143
PTTG1,17.0,1.0,0.9411764705882353
PUM1,6.0,0.0,0.8333333333333334
PUM2,11.0,0.0,0.9090909090909091
RAD17,115.0,0.0,0.9478260869565217
RAD9A,61.0,0.0,0.9508196721311475
RAF1,11.0,1.0,0.6363636363636364
RARB,12.0,1.0,0.9166666666666666
RASSF1,6.0,1.0,1.0
RBM38,12.0,1.0,0.9166666666666666
RDX,98.0,0.0,0.8979591836734694
RFC1,48.0,0.0,0.9166666666666666
RFC4,13.0,0.0,0.6153846153846154
RPL10,64.0,0.0,0.734375
RPL12,237.0,0.0,0.7215189873417721
RPL13A,9.0,0.0,0.8888888888888888
RPL14,115.0,0.0,0.7565217391304347
RPL15,84.0,0.0,0.8452380952380952
RPL17,35.0,0.0,0.7142857142857143
RPL18,81.0,0.0,0.9135802469135802
RPL19,27.0,0.0,0.8518518518518519
RPL20,129.0,0.0,0.7364341085271318
RPL21,451.0,0.0,0.3968957871396896
RPL23,75.0,0.0,0.8666666666666667
RPL24,77.0,0.0,0.961038961038961
RPL26,79.0,0.0,0.5316455696202531
RPL27,48.0,0.0,0.5
RPL28,91.0,0.0,0.5274725274725275
RPL29,74.0,0.0,0.9054054054054054
RPL3,34.0,0.0,0.8823529411764706
RPL30,51.0,0.0,0.803921568627451
RPL31,40.0,0.0,0.775
RPL32,146.0,0.0,0.815068493150685
RPL34,23.0,0.0,0.9130434782608695
RPL35,32.0,0.0,0.75
RPL4,61.0,0.0,0.9672131147540983
RPL6,89.0,0.0,0.9550561797752809
RPL7,15.0,0.0,1.0
RPL8,5.0,0.0,0.6
RPS10,70.0,0.0,0.8571428571428571
RPS14,66.0,1.0,0.9545454545454546
RPS18,48.0,0.0,0.9791666666666666
RPS2,152.0,0.0,0.9276315789473685
RPS5,64.0,0.0,0.890625
RPS6,57.0,0.0,0.8771929824561403
RPS8,96.0,0.0,0.875
RTN4,10.0,1.0,0.9
RUNX1,16.0,1.0,0.6875
RXFP1,19.0,0.0,0.5789473684210527
SALL1,14.0,1.0,1.0
SDHA,111.0,0.0,0.9279279279279279
SELENBP1,10.0,1.0,0.8
SERPINB2,6.0,1.0,0.8333333333333334
SERPINE1,13.0,1.0,0.7692307692307693
SFN,2.0,1.0,0.5
SIK1,21.0,1.0,0.9523809523809523
SLC13A3,3.0,1.0,1.0
SLC2A1,9.0,0.0,0.7777777777777778
SMARCB1,10.0,1.0,1.0
SMURF2,6.0,1.0,1.0
SOD2,11.0,1.0,1.0
SORBS2,53.0,1.0,1.0
SOX1,7.0,1.0,0.5714285714285714
SOX2,5.0,1.0,1.0
SOX5,10.0,1.0,1.0
SPARC,90.0,1.0,0.9222222222222223
