epoch,loss,val_auc,lr
1,0.67735504861162,0.6620394088976976,0.00010199999999999999
2,0.604025631862748,0.7662324863193846,0.00020099999999999998
3,0.5281074185356451,0.8204289137778442,0.0003
4,0.4745560066079645,0.8378775413534771,0.00029898913448242047
5,0.41793394284935953,0.8520264606160329,0.00029597020815168366
6,0.36643134557341334,0.8473093751168617,0.0002909840468074933
7,0.314773627116015,0.8530295239519838,0.00028409807972835016
8,0.26408683861310955,0.8425275482093664,0.000275405427806234
9,0.2153935459760663,0.8335028607755881,0.0002650236442462872
10,0.16869135654084735,0.8348298648766563,0.0002530931248613757
11,0.13346794567605172,0.8378846309661818,0.0002397752094595665
12,0.10604065050572437,0.8329515070491005,0.00022524999999999997
13,0.08909856981735058,0.837693133515326,0.0002097139250228539
14,0.07366957826113626,0.8329152799072586,0.00019337708329030795
15,0.060088857523746625,0.8330174949827357,0.00017646040256120608
16,0.04262891538487893,0.8347972214950825,0.0001591926519221161
17,0.04155638534867651,0.8288566714034629,0.00014180734807788382
